GSE,UID,n_samples,title,date,gdstype,tumor_pct,summary,category,reason,exclude_features,sample_example
GSE148292,200148292,22,"Effects of BMPER, CXCL10 and HOXA9 on neovascularization during early-growth sta",2020/05/21,Expression profiling by high throughput sequencing,0.0,Neovascularization is required in high-grade glioma (HGG). The objective of this study was to explore neovascularization-related genes and their corre,D,样本标题/摘要无特征词,-,DP66
GSE99181,200099181,22,Selectively targeting bromodomain and extraterminal proteins for degradation as ,2018/05/15,Expression profiling by high throughput sequencing,0.0,Purpose: Characterization of mechanism and vulnerability of BET protein dependency in GBM cells.  Methods: ChIP-seq and RNA-seq were performed on GBM ,B,非目标瘤种/类型(细胞系/处理实验=20),细胞系/处理实验=20,U87_DMSO_8h_rep2
GSE237808,200237808,21,Multi-omics analysis of FOXO3 pioneer factor activity reveals distinct networks ,2026/07/24,Expression profiling by high throughput sequencing,0.0,Determine how FOXO3 functions at the chromatin level to modulate aging and promote longevity.,B,非目标瘤种/类型(细胞系/处理实验=21),细胞系/处理实验=21,"U87MG cells, FOXO3 shRNA, rep3"
GSE298185,200298185,21,"RNAseq analysis of LGG275, a diffuse IDH-mutant low-grade astrocytoma cell line ",2025/09/05,Expression profiling by high throughput sequencing,0.0,"The goal of the present study was to identify regulators of diffuse low-grade glioma cell behaviour (proliferation, differentiation and cell death) ba",D,样本标题/摘要无特征词,-,T3
GSE300506,200300506,21,Neuro-Glioblastoma Connectivity: Brain-Wide Mapping and Cholinergic Modulation o,2025/07/31,Expression profiling by high throughput sequencing,0.0,This study explores the effect of long-range cholinergic input on glioblastoma (GBM) progression based on systematically mapping neuron-glioma connect,B,非目标瘤种/类型(细胞系/处理实验=21),细胞系/处理实验=21,"Glutmate treatment for 1 hour, total RNA was "
GSE196591,200196591,21,Targeting S6K1 and S6K2 by siRNA and sgRNA in LN229 GBM cells,2024/08/28,Expression profiling by high throughput sequencing,0.0,"To systematically identify the function of S6K1 and S6K2 in glioblastoma cells, LN229 cells were stably transduced with Cas9, control non-targeting sg",B,非目标瘤种/类型(细胞系/处理实验=21),细胞系/处理实验=21,siS6K1_sgNon-Targeting_rep1
GSE222518,200222518,21,Immune landscape of Isocitrate Dehydrogenase (IDH) stratified human gliomas [RNA,2024/06/23,Expression profiling by high throughput sequencing,0.0,"The brain tumor immune microenvironment (TIME) continuously evolves during glioma progression, but only a limited view of a highly complex glioma asso",D,样本标题/摘要无特征词,-,"IMR1, replicate1, mRNASeq"
GSE253222,200253222,21,Modular Tissue-in-a-CUBE platform to model blood-brain barrier (BBB) and brain i,2024/01/18,Expression profiling by high throughput sequencing,0.0,"With the advent of increasingly sophisticated organoids, there is growing demand for technology to replicate the interactions between multiple tissues",B,非目标瘤种/类型(正常/非肿瘤组织=21),正常/非肿瘤组织=21,"BME without astrocyte and pericytes at day 4,"
GSE207288,200207288,21,The DEAD box RNA helicase DDX42 is an intrinsic inhibitor of positive-strand RNA,2022/09/15,Expression profiling by high throughput sequencing,0.0,"To investigate the impact of DDX42 depletion on the cellular transcriptome, we silenced DDX42 by transfecting siRNAs in U87-MG and A549-ACE2 cells. DD",B,非目标瘤种/类型(细胞系/处理实验=20),细胞系/处理实验=20,RNAseq of A549 cells : siControl Rep2
GSE92459,200092459,21,Characterizing the epigenome of glioma stem cells (RNA-Seq),2018/02/23,Expression profiling by high throughput sequencing,0.0,Glioma initiating cells/stem cells exist in the bulk tumor of glioblastoma. This cell population contributes to the frequent resistances toward radiat,B,非目标瘤种/类型(细胞系/处理实验=15),细胞系/处理实验=15,FPKM_GSC64 Sample 55
GSE305709,200305709,21,"IVT-Free, in silico-synthesized protein-encoding RNA Oligonucleotides for rapid ",2026/07/03,Expression profiling by high throughput sequencing,0.0,"Personalized mRNA neoantigen vaccines demonstrate great potential in cancer therapy, but their customization typically requires more than three months",B,非目标瘤种/类型(细胞系/处理实验=21),细胞系/处理实验=21,"Sample6_PrimaryT, Unmodified-mRNA, rep3"
GSE243795,200243795,21,Multiomic profiling of medulloblastoma reveals subtype-specific targetable alter,2024/04/23,Expression profiling by high throughput sequencing,0.0,Medulloblastomas (MBs) are malignant pediatric brain tumors that are molecularly and clinically very heterogenous. To unravel phenotypically relevant ,D,样本标题/摘要无特征词,-,GR4 MB20
GSE232868,200232868,21,Effect of Terpenes from Poria Cocos: Verification of Therapeutic Modes of Action,2024/04/23,Expression profiling by high throughput sequencing,0.0,This study aimed to identify the modes of action (MOA) of Poria Cocos water extract (PCW) in SW1783 cell line.,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,BatchA_SW1783_water extract of Poria Cocos (M
GSE239939,200239939,21,Genome-wide gene expression profile of human DIPG cell lines (ONC201 treatment),2023/12/31,Expression profiling by high throughput sequencing,0.0,"To study the effect of ONC201 treatment on DIPG-VII, DIPG-IV, and DIPG-XIII cell lines, we treated cell lines and performed RNA-Seq analysis.",B,非目标瘤种/类型(其他癌种=21),其他癌种=21; 细胞系/处理实验=12,DIPG-VII_Control_B
GSE160088,200160088,21,MAT2A expression and methionine dependency in Diffuse Midline Gliomas creates a ,2022/01/28,Expression profiling by high throughput sequencing,0.0,We generated a syngeneic H3K27M diffuse midline glioma (DMG) mouse model and performed total RNA seq on  H3K27MPP cells and control cell lines H3wtMPP,B,非目标瘤种/类型(细胞系/处理实验=12),细胞系/处理实验=12,H3K27M Replicate 1
